word,information_gain,percentage_suicide,percentage_non_suicide
自制,0.0012799214951093596,3.76%,96.24%
出游,0.0009652327132599892,1.18%,98.82%
搭配,0.0029704595734995065,1.50%,98.50%
适量,0.0008923658209699648,2.35%,97.65%
可口,0.0010021607966016477,1.14%,98.86%
沉淀,0.0005611672983825144,1.92%,98.08%
腌制,0.00040378636319726713,2.56%,97.44%
切成,0.0004520389096424049,2.33%,97.67%
旅行,0.01582812351606311,2.24%,97.76%
播,0.0013951918744413705,18.44%,81.56%
展,0.0018951731289984508,19.50%,80.50%
混合,0.00034537673767831567,5.13%,94.87%
必备,0.0005611672983825144,1.92%,98.08%
煎,5.021190017862054e-05,42.91%,57.09%
炫,0.000782153028658028,12.03%,87.97%
回血,0.0003079277293980276,3.23%,96.77%
查理,0.00033179578530417864,3.03%,96.97%
搭,0.005631775108248638,9.84%,90.16%
萌,0.02212427341306522,0.95%,99.05%
合集,0.0006399082234346265,3.12%,96.88%
煲,0.0006794699965442241,5.19%,94.81%
抵达,0.0003079277293980276,3.23%,96.77%
隐入,0.0003198525503642635,3.12%,96.88%
有意,2.5705544019927196e-05,54.57%,45.43%
得意,0.00032231193689680193,5.41%,94.59%
取决于,0.0002486270932928747,3.85%,96.15%
烹饪,0.000272276528269777,3.57%,96.43%
发型,0.00040378636319726713,2.56%,97.44%
上身,0.00023128969279495593,9.09%,90.91%
露营,0.0005447056013569984,3.57%,96.43%
观看,0.0008306585973649749,4.44%,95.56%
出出,0.0009010151279315037,4.17%,95.83%
绝育,0.0002250898804274648,4.17%,95.83%
发酵,0.00015538158883587894,5.56%,94.44%
救助,0.00016688292196886945,5.26%,94.74%
可可,0.001212286702664378,2.56%,97.44%
做法,0.004999466049833146,2.51%,97.49%
料理,0.00033179578530417864,3.03%,96.97%
浸泡,0.000201684724976392,4.55%,95.45%
摆摊,0.000272276528269777,3.57%,96.43%
自取,0.00023132689088656289,6.90%,93.10%
备用,0.0006041285050588652,3.28%,96.72%
开水,0.00018563338616206515,15.38%,84.62%
下饭,0.0018119843930074486,12.58%,87.42%
选手,0.000651853828704474,3.08%,96.92%
赏,0.0024816315440218117,7.69%,92.31%
猜猜,0.0001677000341475665,11.11%,88.89%
喧哗,0.00023684333343199082,4.00%,96.00%
贩,0.00041640175318558015,11.59%,88.41%
好喝,0.0008722970309128497,9.45%,90.55%
确,0.001678703208096488,69.97%,30.03%
自驾,0.0004034596928359502,4.55%,95.45%
出有,0.00022053042733294337,9.38%,90.62%
腌,0.000722672672916147,3.95%,96.05%
加入,0.0012123454284754809,7.14%,92.86%
烤,0.00455821841159243,5.09%,94.91%
品尝,0.0004205652696295248,6.00%,94.00%
润,0.0008271230591855305,6.80%,93.20%
升级,0.0001900393994349603,4.76%,95.24%
焯,0.00024256647028297884,6.67%,93.33%
炖,0.0014178166135498937,2.24%,97.76%
碰撞,0.000201684724976392,4.55%,95.45%
出版,0.000201684724976392,4.55%,95.45%
审美,0.0001900393994349603,4.76%,95.24%
开饭,0.00048558776045759533,3.92%,96.08%
忌,8.192134182472e-05,67.11%,32.89%
修身,0.00015538158883587894,5.56%,94.44%
邮,0.0019075492089594137,7.35%,92.65%
配上,0.0008914525960805886,1.27%,98.73%
限定,0.0003801602400158588,4.76%,95.24%
制作,0.0009516160940197249,6.14%,93.86%
翻译,0.0004289911387621581,8.47%,91.53%
行走,0.0002250898804274648,4.17%,95.83%
免,0.00016698962537076145,36.78%,63.22%
携,0.000783798072610975,2.63%,97.37%
炒,0.005034554230697985,3.98%,96.02%
有偿,0.0007202054024468829,5.88%,94.12%
蘸,0.0003797322033609607,2.70%,97.30%
防晒,0.00020982971762484315,9.68%,90.32%
练习,0.00034537673767831567,5.13%,94.87%
跳跃,0.00014343204286548783,9.52%,90.48%
烘焙,0.00015538158883587894,5.56%,94.44%
乃,0.00028996394048241836,10.87%,89.13%
致敬,0.00016688292196886945,5.26%,94.74%
提拉,0.00012126417633873121,6.67%,93.33%
投资,0.00012126417633873121,6.67%,93.33%
重逢,0.0001784372880713203,5.00%,95.00%
串,0.0005072898289971706,16.95%,83.05%
不负,5.761603618215094e-05,37.37%,62.63%
包,0.0066266539669380675,18.06%,81.94%
尝尝,0.000356947667392693,5.00%,95.00%
赢得,0.00024256647028297884,6.67%,93.33%
舒展,0.0001325640823636176,6.25%,93.75%
考古,0.00014393951149838102,5.88%,94.12%
显,4.9817380815553314e-05,44.52%,55.48%
打滚,0.00015417485686042287,9.09%,90.91%
暴走,0.00014393951149838102,5.88%,94.12%
担当,0.00016688292196886945,5.26%,94.74%
拌,0.003439744323590732,2.17%,97.83%
开胃,0.0007477227636862871,2.74%,97.26%
挖,0.00016665151246531007,29.63%,70.37%
位,0.000979627997219068,35.19%,64.81%
富有,0.0002651723737863154,6.25%,93.75%
游览,0.00012126417633873121,6.67%,93.33%
取舍,0.00012126417633873121,6.67%,93.33%
影像,0.0001325640823636176,6.25%,93.75%
煮,0.0019289394351431621,7.57%,92.43%
放生,1.7380508527953253e-05,20.00%,80.00%
相逢,0.0002651723737863154,6.25%,93.75%
烧烤,0.0012630083352765942,6.00%,94.00%
打卡,0.006662883458508295,6.54%,93.46%
善,0.0001151847853736454,43.21%,56.79%
放进,0.00017812150136820026,10.71%,89.29%
初体验,0.0001325640823636176,6.25%,93.75%
实惠,0.0001325640823636176,6.25%,93.75%
萌化,0.00015538158883587894,5.56%,94.44%
抓拍,0.00012126417633873121,6.67%,93.33%
涮,0.00015538158883587894,5.56%,94.44%
居,0.0002840611762335854,37.99%,62.01%
打分,0.00015538158883587894,5.56%,94.44%
通道,4.524473192701883e-05,23.53%,76.47%
在职,4.524473192701883e-05,23.53%,76.47%
举办,0.00012126417633873121,6.67%,93.33%
调味料,6.638276517823005e-05,10.00%,90.00%
勾,0.0003428857571687871,21.62%,78.38%
超爱,0.00045028896293919374,4.17%,95.83%
出行,0.000468260294633871,10.81%,89.19%
滑,0.0026097578692696466,10.90%,89.10%
尝,0.00011395075182207837,41.19%,58.81%
超越,0.0001868687239527933,8.00%,92.00%
运费,0.00011005057599799972,7.14%,92.86%
闪现,0.00011005057599799972,7.14%,92.86%
翻车,0.00012126417633873121,6.67%,93.33%
还原,0.00011005057599799972,7.14%,92.86%
独有,9.130334492601921e-05,12.50%,87.50%
料,0.0032433001815719287,12.93%,87.07%
贴纸,0.00011005057599799972,7.14%,92.86%
开展,8.7938745200411e-05,8.33%,91.67%
蹲,0.0022901099504262223,11.14%,88.86%
回顾,0.00030842281045528885,9.09%,90.91%
剪,0.0009723811144874972,16.89%,83.11%
入手,0.00020899017133602094,7.41%,92.59%
回味,0.00032231193689680193,5.41%,94.59%
吃喝,0.000770390270229182,8.49%,91.51%
收,0.008892943790886565,17.09%,82.91%
起飞,0.00022013362968398287,7.14%,92.86%
骑行,0.00020899017133602094,7.41%,92.59%
呈现出,5.214761347538399e-05,20.00%,80.00%
预售,8.7938745200411e-05,8.33%,91.67%
炒蛋,0.00011178897091512763,11.11%,88.89%
拆封,9.893656110326887e-05,7.69%,92.31%
标配,9.893656110326887e-05,7.69%,92.31%
限量版,0.00012126417633873121,6.67%,93.33%
复习,0.0006067022724024485,6.67%,93.33%
喂食,0.00034537673767831567,5.13%,94.87%
合作,0.00017590004265877202,8.33%,91.67%
出发,0.0007872396028943962,12.41%,87.59%
切,0.000302652424962524,57.03%,42.97%
贴心,0.00013696719621747455,12.50%,87.50%
活出,0.0001488744573970857,21.28%,78.72%
悟,0.0002216289340571942,26.42%,73.58%
煮沸,9.893656110326887e-05,7.69%,92.31%
讲究,8.7938745200411e-05,8.33%,91.67%
鼓,5.364368569160671e-05,56.87%,43.13%
不失,4.518526393992861e-05,28.00%,72.00%
拍下,0.00013696719621747455,12.50%,87.50%
互换,7.707829510827935e-05,9.09%,90.91%
解冻,8.7938745200411e-05,8.33%,91.67%
猫,0.035532232243551065,6.82%,93.18%
请勿,6.638276517823005e-05,10.00%,90.00%
出书,7.707829510827935e-05,9.09%,90.91%
续费,5.588896077601824e-05,11.11%,88.89%
诠释,8.7938745200411e-05,8.33%,91.67%
攻略,0.0006292774069815987,6.49%,93.51%
扭,1.5148600530312528e-05,56.44%,43.56%
演绎,0.00015417485686042287,9.09%,90.91%
设计,0.0008913638823188075,8.26%,91.74%
露,0.0004027238079294948,32.98%,67.02%
漫步,0.0002748439846651518,8.11%,91.89%
从容,0.0004180914591424001,8.62%,91.38%
展示,0.0005505778275566309,7.14%,92.86%
迎,0.001630226125337031,20.65%,79.35%
寫,6.12826332180294e-06,66.67%,33.33%
报恩,7.707829510827935e-05,9.09%,90.91%
摘抄,5.588896077601824e-05,11.11%,88.89%
靠背,5.2503851310059524e-05,16.67%,83.33%
安装,6.638276517823005e-05,10.00%,90.00%
改过,6.12826332180294e-06,33.33%,66.67%
独享,5.2503851310059524e-05,16.67%,83.33%
可愛,9.130334492601921e-05,12.50%,87.50%
着迷,7.707829510827935e-05,9.09%,90.91%
斜,0.00020825591834672252,13.16%,86.84%
开满,0.00015538158883587894,5.56%,94.44%
查收,8.7938745200411e-05,8.33%,91.67%
阅历,5.588896077601824e-05,11.11%,88.89%
喝到,0.00010422225342188174,18.52%,81.48%
变幻,6.076882128480676e-05,18.75%,81.25%
忠于,7.707829510827935e-05,9.09%,90.91%
喝杯,7.146853677597598e-05,14.29%,85.71%
涵养,5.588896077601824e-05,11.11%,88.89%
赛,0.0012246859856351877,13.79%,86.21%
喝一杯,0.00011005057599799972,7.14%,92.86%
清欢,8.7938745200411e-05,8.33%,91.67%
追梦,5.2503851310059524e-05,16.67%,83.33%
沉醉,0.0001325640823636176,6.25%,93.75%
举行,8.7938745200411e-05,8.33%,91.67%
沸腾,5.2503851310059524e-05,16.67%,83.33%
梳,0.00013974144652029175,20.93%,79.07%
解锁,0.0002638839025290718,8.33%,91.67%
回访,0.0003302491781199679,7.14%,92.86%
呲,0.00013696719621747455,12.50%,87.50%
收藏,0.0004969464979752702,9.59%,90.41%
绽放,0.0005279709582561853,8.33%,91.67%
取出,0.00015736234662522275,11.54%,88.46%
组合,0.00022053042733294337,9.38%,90.62%
抹,0.0007656826085468138,19.43%,80.57%
搞定,0.00047402893066950114,6.78%,93.22%
好吃,0.009719831214773267,12.05%,87.95%
炒饭,0.000213271952317462,11.43%,88.57%
搅,0.0008033410329811863,7.62%,92.38%
无畏,0.00015417485686042287,9.09%,90.91%
馈赠,0.0001327799627189874,10.00%,90.00%
翘,0.00019277600966360886,12.12%,87.88%
传承,0.00017590004265877202,8.33%,91.67%
四溢,8.7938745200411e-05,8.33%,91.67%
返图,6.638276517823005e-05,10.00%,90.00%
迷,0.00018757158940230223,41.23%,58.77%
预祝,6.638276517823005e-05,10.00%,90.00%
压成,0.00010147518504255437,11.76%,88.24%
放晴,6.638276517823005e-05,10.00%,90.00%
下图,0.0001325640823636176,6.25%,93.75%
驾驶,6.185952440318498e-05,15.38%,84.62%
认证,3.4763046226071737e-05,20.00%,80.00%
共计,5.588896077601824e-05,11.11%,88.89%
嗅,1.0451760917185027e-05,35.71%,64.29%
报废,4.564761366565584e-05,12.50%,87.50%
过滤,7.707829510827935e-05,9.09%,90.91%
巧合,3.775159002639139e-05,25.00%,75.00%
自渡,6.638276517823005e-05,10.00%,90.00%
光顾,6.638276517823005e-05,10.00%,90.00%
融,0.0004104156096570444,28.86%,71.14%
实名,2.8312339519720453e-05,25.00%,75.00%
揣着,4.38280447175865e-05,21.43%,78.57%
活好,0.00010383182695816728,73.08%,26.92%
对称,7.707829510827935e-05,9.09%,90.91%
休整,6.638276517823005e-05,10.00%,90.00%
遛弯,6.185952440318498e-05,15.38%,84.62%
欢,0.0002819350670414389,45.44%,54.56%
不变,5.0079739033259685e-05,33.96%,66.04%
腻,0.002412552615819963,6.46%,93.54%
洒,0.00020030888907740518,28.93%,71.07%
打理,0.00022053042733294337,9.38%,90.62%
开封,0.00020899017133602094,7.41%,92.59%
喂养,0.0001222284352211389,10.53%,89.47%
发财,0.00016499996132335326,8.70%,91.30%
拼搏,0.00010721126215484933,14.29%,85.71%
敢于,8.129310805571333e-05,13.33%,86.67%
闪耀,0.00014343204286548783,9.52%,90.48%
拆,0.00074352194522187,15.38%,84.62%
购买,0.00039638187859791785,8.93%,91.07%
超好,0.0006162101512152685,7.50%,92.50%
奔跑,0.0006384653690276743,7.32%,92.68%
为主,0.0002928187421101791,15.00%,85.00%
包包,0.0004892184211464645,10.53%,89.47%
拍照,0.0012322321756665922,13.27%,86.73%
欢喜,0.0004552309486636208,14.44%,85.56%
辣,0.005989634169272784,7.14%,92.86%
身高,0.00027400749465433805,12.50%,87.50%
保定,0.00015273667194870555,13.79%,86.21%
无忧,3.1469994828059455e-05,39.19%,60.81%
漏,0.00012910178388536586,28.38%,71.62%
糊,1.5033969109623513e-06,48.81%,51.19%
属,0.0027016084037286836,24.20%,75.80%
尊敬,7.146853677597598e-05,14.29%,85.71%
叼,0.00017590004265877202,8.33%,91.67%
吸收,0.0001222284352211389,10.53%,89.47%
推理,3.573144988444632e-05,14.29%,85.71%
精选,0.00042789016573463456,2.44%,97.56%
移步,5.588896077601824e-05,11.11%,88.89%
加持,6.638276517823005e-05,10.00%,90.00%
怠慢,4.564761366565584e-05,12.50%,87.50%
收养,5.588896077601824e-05,11.11%,88.89%
笃定,5.588896077601824e-05,11.11%,88.89%
下起,6.638276517823005e-05,10.00%,90.00%
哼哼,3.4763046226071737e-05,20.00%,80.00%
塑造,4.564761366565584e-05,12.50%,87.50%
登高,9.893656110326887e-05,7.69%,92.31%
拐,1.617177255897051e-05,38.89%,61.11%
落幕,5.588896077601824e-05,11.11%,88.89%
邀,1.89062892049785e-05,38.46%,61.54%
互评,5.588896077601824e-05,11.11%,88.89%
染发,2.62501218804001e-05,16.67%,83.33%
拼拼凑凑,6.638276517823005e-05,10.00%,90.00%
装扮,5.588896077601824e-05,11.11%,88.89%
开拓,7.707829510827935e-05,9.09%,90.91%
刨,0.00010147518504255437,11.76%,88.24%
接待,5.588896077601824e-05,11.11%,88.89%
亏损,5.588896077601824e-05,11.11%,88.89%
自助餐,4.564761366565584e-05,12.50%,87.50%
延长,6.185952440318498e-05,15.38%,84.62%
捣乱,5.588896077601824e-05,11.11%,88.89%
下跌,2.62501218804001e-05,16.67%,83.33%
学习,0.004212223119892111,12.22%,87.78%
挑战,0.0006600738753687052,12.28%,87.72%
捞,0.0007363924528251964,12.00%,88.00%
背诵,0.0001332902326321994,14.81%,85.19%
装修,0.00040914059526186985,9.84%,90.16%
旋转,0.0001626135074141999,13.33%,86.67%
创新,9.130334492601921e-05,12.50%,87.50%
去除,3.32160499023626e-05,27.78%,72.22%
亏待,0.00010147518504255437,11.76%,88.24%
聚,0.0005441452223881038,23.53%,76.47%
伸,4.3639127123795696e-05,40.00%,60.00%
好评,0.00010147518504255437,11.76%,88.24%
守住,6.965099224653937e-05,17.65%,82.35%
包含,8.129310805571333e-05,13.33%,86.67%
奔赴,0.0003604615846648507,11.67%,88.33%
可爱,0.01022834167370179,12.31%,87.69%
在于,0.0003766006229222185,21.19%,78.81%
看淡,0.0001826391699769614,12.50%,87.50%
清洗,0.00012373731682024935,15.38%,84.62%
前行,0.0006041748128452484,12.38%,87.62%
迎接,0.0005438286269652259,13.13%,86.87%
自有,0.00013696719621747455,12.50%,87.50%
饱满,0.00012373731682024935,15.38%,84.62%
赠送,8.129310805571333e-05,13.33%,86.67%
如愿,3.3716612057088646e-05,33.33%,66.67%
挡不住,0.0001222284352211389,10.53%,89.47%
如约,0.00010147518504255437,11.76%,88.24%
到位,0.00012692663784930058,13.04%,86.96%
创建,6.638276517823005e-05,10.00%,90.00%
发来,7.707829510827935e-05,9.09%,90.91%
喂喂,4.564761366565584e-05,12.50%,87.50%
显摆,3.573144988444632e-05,14.29%,85.71%
抚摸,4.564761366565584e-05,12.50%,87.50%
送达,4.564761366565584e-05,12.50%,87.50%
录入,4.564761366565584e-05,12.50%,87.50%
变身,0.0001325640823636176,6.25%,93.75%
鸟鸣,5.588896077601824e-05,11.11%,88.89%
使得,4.564761366565584e-05,12.50%,87.50%
仅供,2.3911934103115762e-05,35.48%,64.52%
购,0.0015304646026337299,10.00%,90.00%
看图,0.00026919706247596764,11.36%,88.64%
湾,0.0007224091282839185,14.58%,85.42%
归零,2.62501218804001e-05,16.67%,83.33%
来来来,4.564761366565584e-05,12.50%,87.50%
分布,4.564761366565584e-05,12.50%,87.50%
选中,5.588896077601824e-05,11.11%,88.89%
显白,8.7938745200411e-05,8.33%,91.67%
翻新,4.564761366565584e-05,12.50%,87.50%
打入,4.564761366565584e-05,12.50%,87.50%
增,1.1131160801425288e-05,46.38%,53.62%
躺倒,4.564761366565584e-05,12.50%,87.50%
直奔,2.6529811098408018e-05,22.22%,77.78%
富养,5.588896077601824e-05,11.11%,88.89%
结算,4.564761366565584e-05,12.50%,87.50%
获奖,4.564761366565584e-05,12.50%,87.50%
开动,9.192733178009505e-06,33.33%,66.67%
变换,3.573144988444632e-05,14.29%,85.71%
合十,2.62501218804001e-05,16.67%,83.33%
搭建,4.564761366565584e-05,12.50%,87.50%
埋头,4.345023867602382e-05,18.18%,81.82%
叠加,4.564761366565584e-05,12.50%,87.50%
惊呆,4.564761366565584e-05,12.50%,87.50%
建造,4.564761366565584e-05,12.50%,87.50%
新高,0.00011178897091512763,11.11%,88.89%
追赶,4.564761366565584e-05,12.50%,87.50%
改良,5.588896077601824e-05,11.11%,88.89%
枕,1.077112094838295e-05,44.05%,55.95%
勇于,4.564761366565584e-05,12.50%,87.50%
狂奔,4.564761366565584e-05,12.50%,87.50%
修好,5.588896077601824e-05,11.11%,88.89%
顺应,1.8873991103229848e-05,25.00%,75.00%
探寻,4.564761366565584e-05,12.50%,87.50%
攀,0.00041943428658774984,14.46%,85.54%
收来,4.564761366565584e-05,12.50%,87.50%
完工,6.638276517823005e-05,10.00%,90.00%
写照,5.588896077601824e-05,11.11%,88.89%
打底,8.7938745200411e-05,8.33%,91.67%
欣赏,0.0006963192572221333,11.40%,88.60%
铲,0.0006857537836969518,9.80%,90.20%
教资,0.0004723578972611886,11.54%,88.46%
游,0.004159124925576463,21.27%,78.73%
溜,0.0007613003006413654,14.19%,85.81%
品,0.0055967776373110345,12.18%,87.82%
趴,0.00030893002692156113,26.21%,73.79%
直播,0.00046836290322904706,13.64%,86.36%
庆祝,0.00016682155291602996,16.22%,83.78%
把握,0.0002000673342060777,18.00%,82.00%
浇,6.439177520922712e-05,33.33%,66.67%
剁,0.0001826391699769614,12.50%,87.50%
得失,7.349450914162503e-05,24.14%,75.86%
保留,0.00010133758575026075,26.53%,73.47%
玩耍,0.0003096258498552773,12.73%,87.27%
限,0.0005710505520226672,32.00%,68.00%
环,3.0049520266528518e-06,51.10%,48.90%
到货,8.129310805571333e-05,13.33%,86.67%
合照,0.00015944180290206056,15.15%,84.85%
融合,0.00017871363429800002,14.29%,85.71%
逛,0.0010390398041254523,20.33%,79.67%
舞,0.0008016093768526966,20.00%,80.00%
取悦,9.756202061284025e-05,15.00%,85.00%
打包,0.0002995959007775495,12.96%,87.04%
修,0.002459747002256707,15.95%,84.05%
调休,0.0001332902326321994,14.81%,85.19%
采访,0.00012373731682024935,15.38%,84.62%
阅读,0.00045598834310012215,16.50%,83.50%
满满,0.0012704609853461113,13.75%,86.25%
健身,0.00027975563471860365,16.92%,83.08%
劳动,0.0007268426706333875,8.82%,91.18%
无需,0.00017618284720999355,15.79%,84.21%
呼呼,0.00011329148351824081,20.59%,79.41%
流行,0.00015736234662522275,11.54%,88.46%
改进,6.185952440318498e-05,15.38%,84.62%
喂奶,2.6529811098408018e-05,22.22%,77.78%
踏上,6.185952440318498e-05,15.38%,84.62%
不服,6.829836179622628e-05,25.81%,74.19%
开工,7.264155205910505e-06,40.00%,60.00%
入住,7.146853677597598e-05,14.29%,85.71%
滋,0.00036245549562441415,24.49%,75.51%
捕捉,3.593998270312593e-05,28.57%,71.43%
窝,0.00034512778490980445,32.07%,67.93%
截止,7.146853677597598e-05,14.29%,85.71%
疯疯,1.8873991103229848e-05,25.00%,75.00%
绵延,3.573144988444632e-05,14.29%,85.71%
放风,6.638276517823005e-05,10.00%,90.00%
抢票,3.573144988444632e-05,14.29%,85.71%
飙升,3.573144988444632e-05,14.29%,85.71%
看轻,3.573144988444632e-05,14.29%,85.71%
逛商场,3.573144988444632e-05,14.29%,85.71%
坐船,3.573144988444632e-05,14.29%,85.71%
向善,3.573144988444632e-05,14.29%,85.71%
寻觅,8.7938745200411e-05,8.33%,91.67%
替换,2.6529811098408018e-05,22.22%,77.78%
照射,4.564761366565584e-05,12.50%,87.50%
打成,3.4763046226071737e-05,20.00%,80.00%
攀登,4.564761366565584e-05,12.50%,87.50%
卷发,1.7380508527953253e-05,20.00%,80.00%
摇摇头,3.573144988444632e-05,14.29%,85.71%
炒股,2.62501218804001e-05,16.67%,83.33%
著,0.0001248991759891238,33.05%,66.95%
合唱,7.146853677597598e-05,14.29%,85.71%
拍完,5.588896077601824e-05,11.11%,88.89%
鞠躬,3.573144988444632e-05,14.29%,85.71%
壮,0.00022819699815779249,23.86%,76.14%
行驶,4.564761366565584e-05,12.50%,87.50%
转运,3.573144988444632e-05,14.29%,85.71%
手握,1.8873991103229848e-05,25.00%,75.00%
累坏,3.573144988444632e-05,14.29%,85.71%
拆家,7.707829510827935e-05,9.09%,90.91%
回甘,5.588896077601824e-05,11.11%,88.89%
提提,1.8873991103229848e-05,25.00%,75.00%
超乎,3.573144988444632e-05,14.29%,85.71%
再累,3.4763046226071737e-05,20.00%,80.00%
挥霍,1.8873991103229848e-05,25.00%,75.00%
自习,0.0001826391699769614,12.50%,87.50%
熬出来,1.7380508527953253e-05,20.00%,80.00%
进退,6.300066292319606e-06,38.46%,61.54%
吃够,2.6529811098408018e-05,22.22%,77.78%
触摸,4.564761366565584e-05,12.50%,87.50%
汇聚,3.573144988444632e-05,14.29%,85.71%
拥堵,3.573144988444632e-05,14.29%,85.71%
顶得住,4.564761366565584e-05,12.50%,87.50%
储备,3.573144988444632e-05,14.29%,85.71%
瞧瞧,3.573144988444632e-05,14.29%,85.71%
挑剔,4.564761366565584e-05,12.50%,87.50%
公布,2.62501218804001e-05,16.67%,83.33%
处世,2.8312339519720453e-05,25.00%,75.00%
超多,7.876118910099539e-05,16.67%,83.33%
累瘫,3.573144988444632e-05,14.29%,85.71%
鸟叫,1.8873991103229848e-05,25.00%,75.00%
尝过,8.129310805571333e-05,13.33%,86.67%
支,0.00018637012478461834,60.00%,40.00%
要紧,2.079641188468262e-05,31.25%,68.75%
喝汤,5.588896077601824e-05,11.11%,88.89%
入,0.0008003280147024228,38.63%,61.37%
训练,0.00016054399845311096,25.00%,75.00%
排,0.0018573771100531822,25.64%,74.36%
喜爱,0.00015755486076385328,16.67%,83.33%
复盘,0.0001303838711640415,18.18%,81.82%
控,0.004309777804962112,82.46%,17.54%
需,1.2350619253531647e-05,51.49%,48.51%
舔,0.00037374219813002263,18.56%,81.44%
诞生,0.00015273667194870555,13.79%,86.21%
遛,0.0003096258498552773,12.73%,87.27%
教练,9.588408924332548e-05,17.39%,82.61%
求问,0.00015273667194870555,13.79%,86.21%
感恩,0.0005365355171831343,16.10%,83.90%
敬,0.0005043947557497042,18.46%,81.54%
遛狗,0.00015417485686042287,9.09%,90.91%
穿,0.003464096066684297,21.21%,78.79%
相册,0.00033378418972929147,16.22%,83.78%
奋斗,0.0005049076239872496,15.24%,84.76%
搬,0.00022581424565781827,30.38%,69.62%
自助,0.0002024298423528581,15.91%,84.09%
震撼,0.0001429596275016598,14.29%,85.71%
上传,6.076882128480676e-05,18.75%,81.25%
出色,6.076882128480676e-05,18.75%,81.25%
觅食,7.146853677597598e-05,14.29%,85.71%
偷拍,5.214761347538399e-05,20.00%,80.00%
